# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 2694683550
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    75.33%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.31%  python3.10  python3.10         [.] 0x000000000012161a
     1.18%  python3.10  python3.10         [.] 0x0000000000121676
     0.97%  python3.10  python3.10         [.] 0x00000000001215f2
     0.81%  python3.10  python3.10         [.] 0x0000000000121590
     0.79%  python3.10  python3.10         [.] 0x0000000000121679
     0.74%  python3.10  python3.10         [.] 0x0000000000121737
     0.71%  python3.10  python3.10         [.] 0x0000000000121613
     0.65%  python3.10  python3.10         [.] 0x00000000001215f7
     0.52%  python3.10  python3.10         [.] 0x00000000001215c4
     0.51%  python3.10  python3.10         [.] 0x000000000012159b
     0.51%  python3.10  python3.10         [.] 0x0000000000121730
     0.49%  python3.10  python3.10         [.] 0x0000000000121596
     0.47%  python3.10  python3.10         [.] 0x000000000012167d
     0.46%  python3.10  python3.10         [.] 0x00000000001215a3
     0.43%  python3.10  python3.10         [.] 0x00000000001215e9
     0.41%  python3.10  python3.10         [.] 0x000000000012160b
     0.41%  python3.10  python3.10         [.] 0x00000000001215dc
     0.40%  python3.10  python3.10         [.] 0x000000000012167b
     0.37%  python3.10  python3.10         [.] 0x00000000001215bc
     0.35%  python3.10  python3.10         [.] 0x00000000001215ab
     0.33%  python3.10  python3.10         [.] 0x0000000000121605
     0.26%  python3.10  python3.10         [.] 0x00000000001215cb
     0.23%  python3.10  python3.10         [.] 0x00000000001215a7
     0.21%  python3.10  python3.10         [.] 0x000000000012159d
     0.21%  python3.10  python3.10         [.] 0x00000000001215e5
     0.20%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.18%  python3.10  python3.10         [.] 0x0000000000121616
     0.18%  python3.10  python3.10         [.] 0x0000000000121600
     0.17%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.15%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.15%  python3.10  python3.10         [.] 0x00000000001215a2
     0.15%  python3.10  python3.10         [.] 0x000000000012167f
     0.14%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.14%  python3.10  python3.10         [.] 0x00000000001215e2
     0.13%  python3.10  python3.10         [.] 0x000000000012160f
     0.12%  python3.10  python3.10         [.] 0x00000000001215a6
     0.12%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.12%  python3.10  python3.10         [.] 0x0000000000121594
     0.12%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.11%  python3.10  python3.10         [.] 0x0000000000121599
     0.10%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.09%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.09%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.09%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.09%  python3.10  python3.10         [.] 0x0000000000121677
     0.09%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.09%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.09%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.08%  python3.10  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.08%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.08%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.08%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.07%  python3.10  python3.10         [.] 0x00000000001215b2
     0.07%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.07%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.07%  python3.10  python3.10         [.] 0x00000000001215d8
     0.07%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.07%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.07%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.07%  python3.10  [kernel.kallsyms]  [k] x86_get_event_constraints
     0.07%  python3.10  python3.10         [.] PyObject_SetAttr
     0.07%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.06%  python3.10  [kernel.kallsyms]  [k] sched_clock_cpu
     0.06%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.06%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.06%  python3.10  [kernel.kallsyms]  [k] cyc2ns_read_begin
     0.06%  python3.10  [kernel.kallsyms]  [k] prepare_task_switch
     0.06%  python3.10  [kernel.kallsyms]  [k] __rseq_handle_notify_resume
     0.06%  python3.10  python3.10         [.] 0x00000000001215ed
     0.05%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.05%  python3.10  python3.10         [.] 0x00000000001215c8
     0.05%  python3.10  [kernel.kallsyms]  [k] read_tsc
     0.05%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.05%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.05%  python3.10  [kernel.kallsyms]  [k] enqueue_task_fair
     0.05%  python3.10  [kernel.kallsyms]  [k] __srcu_read_lock
     0.05%  python3.10  python3.10         [.] PyFunction_NewWithQualName
     0.05%  python3.10  [kernel.kallsyms]  [k] select_task_rq_fair
     0.05%  python3.10  [kernel.kallsyms]  [k] do_syscall_64
     0.05%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.05%  python3.10  [kernel.kallsyms]  [k] vmacache_find
     0.05%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.04%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.04%  python3.10  [kernel.kallsyms]  [k] dup_task_struct
     0.04%  python3.10  python3.10         [.] 0x0000000000152275
     0.04%  python3.10  [kernel.kallsyms]  [k] find_vma
     0.04%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.04%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.04%  python3.10  python3.10         [.] 0x0000000000122a88
     0.04%  python3.10  [kernel.kallsyms]  [k] futex_wait_setup
     0.04%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.04%  python3.10  python3.10         [.] PyErr_GivenExceptionMatches
     0.04%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.04%  python3.10  python3.10         [.] 0x00000000001215c0
     0.04%  python3.10  [kernel.kallsyms]  [k] pick_next_task_fair
     0.04%  python3.10  python3.10         [.] 0x00000000001215a0
     0.04%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.04%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.04%  python3.10  libcrypto.so.3     [.] 0x00000000003074a5
     0.04%  python3.10  [kernel.kallsyms]  [k] x86_pmu_extra_regs
     0.04%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.04%  python3.10  python3.10         [.] 0x0000000000293ef1
     0.04%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.03%  python3.10  [kernel.kallsyms]  [k] hsw_hw_config
     0.03%  python3.10  [kernel.kallsyms]  [k] hash_futex
     0.03%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.03%  python3.10  [kernel.kallsyms]  [k] cgroup_css_set_fork
     0.03%  python3.10  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.03%  python3.10  python3.10         [.] _PyObject_FastCallDictTstate
