# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 2124307472
#
# Overhead  Command     Shared Object                             Symbol                                     
# ........  ..........  ........................................  ...........................................
#
    20.72%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.58%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.21%  python3.10  python3.10                                [.] PyLong_FromString
     1.19%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.96%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.95%  python3.10  python3.10                                [.] PyList_Append
     0.93%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.93%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.83%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.81%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.63%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.63%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.56%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.55%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.52%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.49%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.46%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.46%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.45%  python3.10  python3.10                                [.] 0x0000000000174090
     0.40%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.39%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.38%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.37%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.37%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.37%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.36%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.36%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.36%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.36%  python3.10  python3.10                                [.] 0x000000000015b537
     0.36%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.35%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.34%  python3.10  python3.10                                [.] PyDict_Contains
     0.34%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.32%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.31%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.31%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.30%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.30%  python3.10  python3.10                                [.] 0x000000000018d155
     0.30%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.29%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.29%  python3.10  python3.10                                [.] 0x000000000018d589
     0.29%  python3.10  python3.10                                [.] 0x0000000000122820
     0.28%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.28%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.27%  python3.10  python3.10                                [.] 0x000000000020bea0
     0.26%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.26%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.26%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.26%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.25%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.25%  python3.10  python3.10                                [.] _PyUnicode_FromASCII
     0.24%  python3.10  python3.10                                [.] 0x00000000001228d1
     0.24%  python3.10  python3.10                                [.] _PyBytes_Resize
     0.23%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.23%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.23%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.23%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.23%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.22%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.22%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.22%  python3.10  libc.so.6                                 [.] re_search_internal
     0.22%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.22%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.20%  python3.10  [kernel.kallsyms]                         [k] sock_poll
     0.20%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.20%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.20%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.20%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.20%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.20%  python3.10  [kernel.kallsyms]                         [k] tcp_poll
     0.20%  python3.10  libc.so.6                                 [.] parse_expression
     0.19%  python3.10  python3.10                                [.] 0x00000000001228f6
     0.19%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.19%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.19%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.19%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.19%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.19%  python3.10  python3.10                                [.] 0x000000000015b546
     0.19%  python3.10  python3.10                                [.] 0x000000000015effa
     0.19%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.18%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.18%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.18%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.18%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.17%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.17%  python3.10  [kernel.kallsyms]                         [k] arch_perf_update_userpage
     0.17%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.17%  python3.10  python3.10                                [.] 0x000000000018d162
     0.16%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.16%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a1104
     0.16%  python3.10  python3.10                                [.] 0x000000000012161a
     0.16%  python3.10  python3.10                                [.] 0x0000000000121590
     0.16%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.16%  python3.10  python3.10                                [.] 0x000000000015b506
     0.16%  python3.10  python3.10                                [.] 0x000000000018d151
     0.15%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.15%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.15%  python3.10  python3.10                                [.] 0x000000000018c0be
     0.15%  python3.10  python3.10                                [.] 0x00000000001598cd
     0.15%  python3.10  [kernel.kallsyms]                         [k] do_poll.constprop.0
     0.15%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.15%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.15%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.15%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.15%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.14%  python3.10  libc.so.6                                 [.] 0x00000000001a0951
     0.14%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.14%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.14%  python3.10  python3.10                                [.] 0x000000000015efb8
     0.14%  python3.10  [kernel.kallsyms]                         [k] tcp_sendmsg_locked
     0.14%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.14%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.13%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.13%  python3.10  python3.10                                [.] 0x000000000020beee
     0.13%  python3.10  python3.10                                [.] 0x000000000018d740
     0.13%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.13%  python3.10  python3.10                                [.] 0x000000000015b500
     0.13%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.13%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.13%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_space_adjust
     0.13%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.12%  python3.10  python3.10                                [.] 0x0000000000188e99
     0.12%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.12%  python3.10  python3.10                                [.] PyObject_RichCompare
     0.12%  python3.10  [kernel.kallsyms]                         [k] sk_stream_alloc_skb
     0.12%  python3.10  libc.so.6                                 [.] __netlink_request
     0.12%  python3.10  python3.10                                [.] PyEval_RestoreThread
     0.12%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.12%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.12%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.12%  python3.10  python3.10                                [.] 0x00000000001732d2
     0.12%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.12%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.12%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.11%  python3.10  [kernel.kallsyms]                         [k] calc_timer_values
     0.11%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.11%  python3.10  python3.10                                [.] 0x000000000018d169
     0.11%  python3.10  [kernel.kallsyms]                         [k] cpuacct_charge
     0.11%  python3.10  python3.10                                [.] 0x000000000020bee1
     0.11%  python3.10  python3.10                                [.] 0x0000000000167da0
     0.11%  python3.10  python3.10                                [.] PySlice_New
     0.11%  python3.10  python3.10                                [.] PyMem_Realloc
     0.11%  python3.10  python3.10                                [.] 0x000000000017c393
     0.11%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.11%  python3.10  python3.10                                [.] 0x000000000018d599
     0.10%  python3.10  python3.10                                [.] 0x0000000000122877
     0.10%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_init
     0.10%  python3.10  python3.10                                [.] PyObject_GetItem
     0.10%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.10%  python3.10  [vdso]                                    [.] 0x00000000000007f7
     0.10%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.10%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.10%  python3.10  python3.10                                [.] 0x000000000018d596
     0.10%  python3.10  python3.10                                [.] 0x0000000000127f50
     0.10%  python3.10  python3.10                                [.] 0x000000000017958b
     0.10%  python3.10  libc.so.6                                 [.] setsourcefilter
     0.10%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.10%  python3.10  python3.10                                [.] 0x000000000013fd1f
     0.10%  python3.10  [kernel.kallsyms]                         [k] set_next_buddy
     0.10%  python3.10  [kernel.kallsyms]                         [k] __kmalloc_node_track_caller
     0.10%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.10%  python3.10  python3.10                                [.] _PyErr_NormalizeException
     0.10%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.10%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.10%  python3.10  python3.10                                [.] 0x00000000001732de
     0.10%  python3.10  python3.10                                [.] 0x0000000000122906
     0.10%  python3.10  python3.10                                [.] PyFloat_FromDouble
     0.09%  python3.10  [kernel.kallsyms]                         [k] skb_page_frag_refill
     0.09%  python3.10  python3.10                                [.] PyObject_GC_Del
     0.09%  python3.10  python3.10                                [.] 0x000000000015b520
     0.09%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.09%  python3.10  python3.10                                [.] 0x000000000018d5a1
     0.09%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.09%  python3.10  python3.10                                [.] 0x0000000000137a9c
     0.09%  python3.10  python3.10                                [.] 0x000000000015b541
     0.09%  python3.10  python3.10                                [.] 0x0000000000188d4e
     0.09%  python3.10  python3.10                                [.] 0x0000000000188ff0
     0.09%  python3.10  python3.10                                [.] 0x0000000000127f59
     0.09%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.09%  python3.10  python3.10                                [.] 0x000000000018d06d
     0.09%  python3.10  python3.10                                [.] 0x00000000002ec288
     0.09%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.09%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.09%  python3.10  [kernel.kallsyms]                         [k] timespec64_add_safe
     0.09%  python3.10  python3.10                                [.] 0x0000000000188d36
     0.09%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.09%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.09%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.09%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.09%  python3.10  python3.10                                [.] 0x000000000020bf52
     0.09%  python3.10  python3.10                                [.] 0x000000000018d25c
     0.09%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.08%  python3.10  python3.10                                [.] 0x000000000016a31a
     0.08%  python3.10  python3.10                                [.] 0x0000000000173315
     0.08%  python3.10  [kernel.kallsyms]                         [k] hrtimer_start_range_ns
     0.08%  python3.10  python3.10                                [.] 0x000000000011b2f6
     0.08%  python3.10  [kernel.kallsyms]                         [k] update_rq_clock
     0.08%  python3.10  python3.10                                [.] 0x000000000018d5ef
     0.08%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.08%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.08%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.08%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_txn
     0.08%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.08%  python3.10  python3.10                                [.] PySequence_List
     0.08%  python3.10  python3.10                                [.] 0x00000000002ec2e5
     0.08%  python3.10  python3.10                                [.] 0x0000000000179570
     0.08%  python3.10  python3.10                                [.] 0x000000000015eff0
     0.08%  python3.10  [kernel.kallsyms]                         [k] __cgroup_bpf_run_filter_skb
     0.08%  python3.10  python3.10                                [.] PyUnicode_AsEncodedString
     0.08%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.08%  python3.10  python3.10                                [.] 0x000000000017c380
     0.08%  python3.10  python3.10                                [.] 0x0000000000137ae4
     0.08%  python3.10  [kernel.kallsyms]                         [k] schedule_timeout
     0.08%  python3.10  python3.10                                [.] 0x00000000001d48d6
     0.08%  python3.10  python3.10                                [.] PyTuple_New
     0.08%  python3.10  [kernel.kallsyms]                         [k] __lock_text_start
     0.08%  python3.10  python3.10                                [.] 0x00000000002b39e2
     0.08%  python3.10  python3.10                                [.] 0x000000000015ef8c
     0.08%  python3.10  python3.10                                [.] 0x00000000001d491e
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_event_new_data_sent
     0.08%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.08%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.08%  python3.10  [kernel.kallsyms]                         [k] __softirqentry_text_start
     0.07%  python3.10  python3.10                                [.] 0x0000000000188ffe
     0.07%  python3.10  libc.so.6                                 [.] round_and_return
     0.07%  python3.10  [kernel.kallsyms]                         [k] nf_hook_slow
     0.07%  python3.10  libcrypto.so.3                            [.] 0x00000000003079f1
     0.07%  python3.10  python3.10                                [.] 0x0000000000120d35
     0.07%  python3.10  python3.10                                [.] 0x0000000000122901
     0.07%  python3.10  python3.10                                [.] 0x0000000000137bc7
     0.07%  python3.10  python3.10                                [.] 0x000000000018d16d
     0.07%  python3.10  python3.10                                [.] 0x000000000027ed20
     0.07%  python3.10  python3.10                                [.] 0x000000000011e943
     0.07%  python3.10  python3.10                                [.] 0x000000000017c3d0
     0.07%  python3.10  python3.10                                [.] 0x00000000001732c6
     0.07%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.07%  python3.10  python3.10                                [.] 0x000000000017f864
     0.07%  python3.10  python3.10                                [.] 0x000000000018d066
     0.07%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.07%  python3.10  python3.10                                [.] PyObject_Format
     0.07%  python3.10  python3.10                                [.] 0x00000000001339c5
     0.07%  python3.10  python3.10                                [.] 0x00000000002775ca
     0.07%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.07%  python3.10  python3.10                                [.] 0x000000000015efe1
     0.07%  python3.10  python3.10                                [.] 0x000000000015b568
     0.07%  python3.10  python3.10                                [.] 0x000000000017c401
     0.07%  python3.10  python3.10                                [.] 0x000000000018d237
     0.07%  python3.10  python3.10                                [.] 0x0000000000188dec
     0.07%  python3.10  [kernel.kallsyms]                         [k] task_h_load
     0.07%  python3.10  libcrypto.so.3                            [.] SHA256_Final
     0.07%  python3.10  python3.10                                [.] 0x00000000002d9edb
     0.07%  python3.10  python3.10                                [.] 0x000000000018d1e2
     0.07%  python3.10  python3.10                                [.] PyNumber_Xor
     0.07%  python3.10  python3.10                                [.] 0x000000000011b2d4
     0.07%  python3.10  python3.10                                [.] 0x00000000001435c9
     0.07%  python3.10  [kernel.kallsyms]                         [k] rcu_read_unlock_strict
     0.07%  python3.10  python3.10                                [.] 0x000000000018947b
     0.07%  python3.10  python3.10                                [.] 0x0000000000121628
     0.07%  python3.10  python3.10                                [.] 0x0000000000137af0
     0.07%  python3.10  libc.so.6                                 [.] 0x000000000019d960
     0.07%  python3.10  python3.10                                [.] 0x0000000000121605
     0.06%  python3.10  python3.10                                [.] 0x000000000018bf7d
     0.06%  python3.10  python3.10                                [.] 0x000000000011b311
     0.06%  python3.10  libm.so.6                                 [.] __addtf3
     0.06%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.06%  python3.10  python3.10                                [.] 0x000000000011e957
     0.06%  python3.10  python3.10                                [.] 0x00000000002cfec8
     0.06%  python3.10  libcrypto.so.3                            [.] 0x0000000000308126
     0.06%  python3.10  python3.10                                [.] 0x0000000000150834
     0.06%  python3.10  python3.10                                [.] 0x000000000011e8ff
     0.06%  python3.10  python3.10                                [.] 0x0000000000163024
     0.06%  python3.10  [kernel.kallsyms]                         [k] __dev_queue_xmit
     0.06%  python3.10  python3.10                                [.] 0x0000000000122827
     0.06%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_bh
     0.06%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.06%  python3.10  python3.10                                [.] 0x000000000018d165
     0.06%  python3.10  [kernel.kallsyms]                         [k] __usecs_to_jiffies
     0.06%  python3.10  libc.so.6                                 [.] 0x00000000001a1100
     0.06%  python3.10  libc.so.6                                 [.] 0x000000000019d97d
     0.06%  python3.10  python3.10                                [.] 0x0000000000206c70
     0.06%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.06%  python3.10  [kernel.kallsyms]                         [k] perf_exclude_event
     0.06%  python3.10  python3.10                                [.] 0x0000000000188de0
     0.06%  python3.10  python3.10                                [.] 0x000000000018c0b7
     0.06%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.06%  python3.10  python3.10                                [.] 0x000000000015f01d
     0.06%  python3.10  python3.10                                [.] 0x00000000001522f3
     0.06%  python3.10  python3.10                                [.] 0x000000000011eaf4
     0.06%  python3.10  python3.10                                [.] 0x0000000000179622
     0.06%  python3.10  python3.10                                [.] 0x000000000015b557
     0.06%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.06%  python3.10  python3.10                                [.] 0x00000000001598c8
     0.06%  python3.10  python3.10                                [.] 0x00000000001228eb
     0.06%  python3.10  libcrypto.so.3                            [.] 0x0000000000307ae7
     0.06%  python3.10  python3.10                                [.] 0x0000000000189021
     0.06%  python3.10  [kernel.kallsyms]                         [k] get_nohz_timer_target
     0.06%  python3.10  python3.10                                [.] 0x00000000001411d5
     0.06%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.06%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.06%  python3.10  python3.10                                [.] 0x00000000001732c0
     0.06%  python3.10  libc.so.6                                 [.] 0x00000000001a10e0
     0.06%  python3.10  python3.10                                [.] 0x000000000016ac5d
     0.06%  python3.10  python3.10                                [.] 0x0000000000294915
     0.06%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.06%  python3.10  python3.10                                [.] 0x0000000000188d12
     0.06%  python3.10  python3.10                                [.] 0x0000000000188df0
     0.06%  python3.10  python3.10                                [.] 0x00000000001228b7
     0.06%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.06%  python3.10  python3.10                                [.] 0x000000000015efaa
