CS ID,CS PID
2-39-79-378,1963734
2-39-90-26,1964062
2-39-95-27,1963720
2-39-126-560,1963745
2-39-91-437,1963748
2-39-79-380,1963658
2-39-139-28,1963672
2-39-91-441,1963749
2-39-126-20,1963744
2-39-127-561,1963757
2-39-82-384,1963751
2-39-78-367,1963754
2-39-78-364,1963753
2-39-123-557,1963764
2-39-79-377,1963758
2-39-128-18,1963794
2-39-124-22,1963811
2-39-79-382,1963775
2-39-79-376,1963785
2-39-130-31,1963838
2-39-125-21,1963888
2-39-89-25,1963902
2-39-123-23,1963852
2-39-78-360,1963897
2-39-78-365,1964037
2-39-92-436,1963867
2-39-127-19,1963726
2-39-131-565,1963747
2-39-90-440,1964044
2-39-129-563,1963752
2-39-92-442,1963664
2-39-78-361,1963755
2-39-95-444,1963750
2-39-128-562,1963756
2-39-138-29,1963746
2-39-83-386,1963759
2-39-131-30,1963956
2-39-89-439,1963799
2-39-138-566,1963878
2-39-78-362,1963950
2-39-83-387,1963820
2-39-78-366,1963737
2-39-79-383,1963847
2-39-79-381,1963741
2-39-124-558,1963655
2-39-78-363,1963830
2-39-88-438,1964012
2-39-139-567,1963760
2-39-125-559,1964027
2-39-79-379,1964072
2-39-88-24,1964070
2-39-130-564,1964073
2-39-129-17,1964080
