# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 13263806617
#
# Overhead  Command     Shared Object      Symbol                                     
# ........  ..........  .................  ...........................................
#
    45.76%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
    20.03%  :1964149    python3.10         [.] _PyEval_EvalFrameDefault
     2.70%  :1964149    python3.10         [.] PyObject_RichCompare
     1.98%  python3.10  python3.10         [.] 0x0000000000121590
     1.79%  :1964149    python3.10         [.] 0x000000000012161a
     1.64%  python3.10  python3.10         [.] 0x000000000012161a
     1.56%  :1964149    python3.10         [.] 0x0000000000121590
     1.30%  :1964149    python3.10         [.] 0x0000000000179c52
     0.93%  python3.10  python3.10         [.] 0x00000000001215c4
     0.83%  python3.10  python3.10         [.] 0x0000000000121605
     0.63%  :1964149    python3.10         [.] 0x00000000001215c4
     0.49%  :1964149    python3.10         [.] 0x000000000015b546
     0.47%  python3.10  python3.10         [.] 0x0000000000121730
     0.46%  python3.10  python3.10         [.] 0x0000000000121596
     0.44%  :1964149    python3.10         [.] 0x0000000000121605
     0.42%  :1964149    python3.10         [.] 0x0000000000121596
     0.41%  :1964149    python3.10         [.] 0x0000000000121613
     0.40%  python3.10  python3.10         [.] 0x00000000001215f2
     0.38%  python3.10  python3.10         [.] 0x0000000000121676
     0.38%  :1964149    python3.10         [.] 0x000000000012160b
     0.37%  python3.10  python3.10         [.] 0x0000000000121613
     0.34%  python3.10  python3.10         [.] 0x000000000012159b
     0.33%  python3.10  python3.10         [.] 0x00000000001215a3
     0.33%  :1964149    python3.10         [.] 0x0000000000121676
     0.30%  :1964149    python3.10         [.] 0x0000000000121730
     0.30%  :1964149    python3.10         [.] 0x00000000001215f2
     0.30%  :1964149    python3.10         [.] 0x0000000000121623
     0.29%  python3.10  python3.10         [.] 0x0000000000121737
     0.28%  python3.10  python3.10         [.] 0x00000000001215f7
     0.28%  :1964149    python3.10         [.] 0x000000000012159b
     0.27%  python3.10  python3.10         [.] 0x000000000012167d
     0.26%  python3.10  python3.10         [.] 0x000000000012160b
     0.26%  :1964149    python3.10         [.] 0x00000000001215f7
     0.25%  :1964149    python3.10         [.] 0x0000000000179c4e
