# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 765457946
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    23.56%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     3.28%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.25%  python3.10  python3.10                                [.] PyLong_FromString
     0.77%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.77%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.77%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.77%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.71%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.70%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.64%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.59%  python3.10  python3.10                                [.] PyDict_Contains
     0.56%  python3.10  python3.10                                [.] PyList_Append
     0.56%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.54%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.53%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.50%  python3.10  python3.10                                [.] 0x0000000000137a9c
     0.49%  python3.10  python3.10                                [.] 0x000000000015effa
     0.49%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.49%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.46%  python3.10  python3.10                                [.] 0x000000000015b546
     0.45%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.45%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.45%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.44%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.44%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.42%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.42%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.41%  python3.10  python3.10                                [.] 0x000000000018d155
     0.41%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.39%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.39%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.35%  python3.10  python3.10                                [.] 0x0000000000188d4e
     0.34%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.33%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.33%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.32%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.32%  python3.10  python3.10                                [.] 0x0000000000150bd6
     0.31%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.31%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.31%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.31%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.30%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.29%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.29%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.28%  python3.10  python3.10                                [.] 0x000000000018d1c1
     0.27%  python3.10  python3.10                                [.] 0x00000000001b63e8
     0.26%  python3.10  python3.10                                [.] 0x000000000020bef5
     0.26%  python3.10  python3.10                                [.] 0x0000000000188ec7
     0.26%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.25%  python3.10  python3.10                                [.] 0x000000000015f020
     0.25%  python3.10  python3.10                                [.] PyBuffer_Release
     0.25%  python3.10  [kernel.kallsyms]                         [k] aa_sk_perm
     0.25%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.25%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.24%  python3.10  [kernel.kallsyms]                         [k] xmit_one.constprop.0
     0.24%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.24%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.24%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.23%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.23%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.22%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.22%  python3.10  python3.10                                [.] 0x00000000001894ba
     0.22%  python3.10  python3.10                                [.] 0x0000000000127f59
     0.22%  python3.10  python3.10                                [.] 0x000000000015d9a0
     0.22%  python3.10  [kernel.kallsyms]                         [k] tcp_sendmsg_locked
     0.22%  python3.10  python3.10                                [.] 0x0000000000206c70
     0.21%  python3.10  python3.10                                [.] 0x0000000000188d3c
     0.21%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.21%  python3.10  libc.so.6                                 [.] parse_expression
     0.21%  python3.10  python3.10                                [.] 0x00000000001d4939
     0.21%  python3.10  python3.10                                [.] 0x000000000018d151
     0.21%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.21%  python3.10  libc.so.6                                 [.] 0x0000000000199ef9
     0.20%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.20%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_space_adjust
     0.20%  python3.10  libc.so.6                                 [.] __res_context_send
     0.20%  python3.10  python3.10                                [.] 0x000000000015b537
     0.20%  python3.10  python3.10                                [.] 0x0000000000188ec2
     0.20%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.20%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.20%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.19%  python3.10  [kernel.kallsyms]                         [k] aa_label_sk_perm.part.0
     0.19%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.19%  python3.10  [kernel.kallsyms]                         [k] __dev_queue_xmit
     0.19%  python3.10  python3.10                                [.] 0x0000000000188da5
     0.19%  python3.10  python3.10                                [.] 0x000000000015eff0
     0.18%  python3.10  python3.10                                [.] PyObject_GetIter
     0.18%  python3.10  python3.10                                [.] 0x00000000001f62cd
     0.18%  python3.10  python3.10                                [.] 0x0000000000137b77
     0.18%  python3.10  python3.10                                [.] 0x000000000018d0e8
     0.18%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.18%  python3.10  [kernel.kallsyms]                         [k] __softirqentry_text_start
     0.18%  python3.10  python3.10                                [.] 0x000000000018d17a
     0.17%  python3.10  python3.10                                [.] 0x00000000001598c0
     0.17%  python3.10  python3.10                                [.] 0x000000000018d599
     0.17%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.17%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.17%  python3.10  libc.so.6                                 [.] 0x00000000001a1147
     0.16%  python3.10  python3.10                                [.] 0x0000000000188e88
     0.16%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.16%  python3.10  python3.10                                [.] 0x000000000018d96b
     0.16%  python3.10  python3.10                                [.] 0x000000000012291a
     0.16%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.16%  python3.10  [kernel.kallsyms]                         [k] do_sys_poll
     0.16%  python3.10  python3.10                                [.] 0x00000000001228b7
     0.16%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.16%  python3.10  python3.10                                [.] 0x0000000000137ac9
     0.16%  python3.10  python3.10                                [.] 0x0000000000121590
     0.16%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.16%  python3.10  python3.10                                [.] 0x0000000000121628
     0.15%  python3.10  python3.10                                [.] 0x000000000011eae3
     0.15%  python3.10  python3.10                                [.] 0x00000000001d4902
     0.15%  python3.10  python3.10                                [.] 0x0000000000137b8d
     0.15%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.15%  python3.10  python3.10                                [.] 0x000000000011b311
     0.15%  python3.10  libcrypto.so.3                            [.] 0x0000000000258a30
     0.15%  python3.10  python3.10                                [.] 0x000000000018d0eb
     0.15%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.15%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.14%  python3.10  python3.10                                [.] 0x00000000001732ce
     0.14%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.14%  python3.10  python3.10                                [.] 0x0000000000127f63
     0.14%  python3.10  python3.10                                [.] 0x00000000001598c4
     0.14%  python3.10  python3.10                                [.] 0x0000000000137c02
     0.14%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.14%  python3.10  python3.10                                [.] 0x000000000015efe1
     0.14%  python3.10  python3.10                                [.] 0x00000000001d4965
     0.14%  python3.10  python3.10                                [.] 0x00000000001d48d0
     0.14%  python3.10  python3.10                                [.] PyNumber_Xor
     0.14%  python3.10  libcrypto.so.3                            [.] 0x0000000000307355
     0.14%  python3.10  python3.10                                [.] 0x0000000000137bdf
     0.14%  python3.10  python3.10                                [.] 0x0000000000206c4d
     0.14%  python3.10  python3.10                                [.] 0x0000000000293e15
     0.14%  python3.10  python3.10                                [.] 0x000000000015b568
     0.14%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.14%  python3.10  python3.10                                [.] 0x000000000011e943
     0.14%  python3.10  libcrypto.so.3                            [.] EVP_MD_up_ref
     0.14%  python3.10  python3.10                                [.] PyBytes_FromStringAndSize
     0.14%  python3.10  python3.10                                [.] 0x0000000000137ba9
     0.14%  python3.10  python3.10                                [.] 0x000000000015ef7f
     0.13%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.13%  python3.10  python3.10                                [.] 0x0000000000189853
     0.13%  python3.10  [kernel.kallsyms]                         [k] ip_local_deliver
     0.13%  python3.10  python3.10                                [.] 0x000000000018d13b
     0.13%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.13%  python3.10  python3.10                                [.] 0x0000000000174090
     0.13%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.13%  python3.10  python3.10                                [.] 0x000000000018d641
     0.12%  python3.10  python3.10                                [.] 0x0000000000188de0
     0.12%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.12%  python3.10  [kernel.kallsyms]                         [k] tcp_rearm_rto
     0.12%  python3.10  python3.10                                [.] 0x000000000018c03d
     0.12%  python3.10  [kernel.kallsyms]                         [k] skb_page_frag_refill
     0.12%  python3.10  libcrypto.so.3                            [.] 0x000000000030714e
     0.12%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.12%  python3.10  python3.10                                [.] 0x000000000030e43f
     0.12%  python3.10  libc.so.6                                 [.] 0x000000000019d98d
     0.12%  python3.10  python3.10                                [.] 0x0000000000188d00
     0.12%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.12%  python3.10  python3.10                                [.] 0x000000000015b506
     0.12%  python3.10  python3.10                                [.] 0x000000000012809b
     0.12%  python3.10  _hashlib.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000004980
     0.12%  python3.10  python3.10                                [.] 0x0000000000137a6f
     0.12%  python3.10  python3.10                                [.] 0x0000000000178cf3
     0.12%  python3.10  python3.10                                [.] 0x0000000000293d46
     0.12%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.12%  python3.10  python3.10                                [.] 0x000000000011d5ed
     0.12%  python3.10  python3.10                                [.] 0x00000000002d9ea8
     0.12%  python3.10  python3.10                                [.] 0x00000000001d48f3
     0.12%  python3.10  [kernel.kallsyms]                         [k] apparmor_socket_sock_rcv_skb
     0.12%  python3.10  libcrypto.so.3                            [.] 0x0000000000255d34
     0.12%  python3.10  python3.10                                [.] PySlice_Unpack
     0.12%  python3.10  python3.10                                [.] 0x000000000015d640
     0.12%  python3.10  python3.10                                [.] 0x00000000001795c3
     0.12%  python3.10  python3.10                                [.] 0x00000000002069b9
     0.12%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.12%  python3.10  python3.10                                [.] 0x00000000001522f3
     0.12%  python3.10  python3.10                                [.] 0x000000000018c0e4
     0.12%  python3.10  python3.10                                [.] 0x000000000018d21a
     0.12%  python3.10  python3.10                                [.] 0x0000000000150bb7
     0.12%  python3.10  python3.10                                [.] 0x000000000017a8dc
     0.12%  python3.10  python3.10                                [.] 0x00000000001d3c24
     0.12%  python3.10  python3.10                                [.] 0x00000000001740a7
     0.12%  python3.10  python3.10                                [.] 0x00000000001732c6
     0.12%  python3.10  python3.10                                [.] 0x0000000000150b78
     0.12%  python3.10  python3.10                                [.] 0x000000000018d5f5
     0.12%  python3.10  python3.10                                [.] PyMem_Realloc
     0.12%  python3.10  python3.10                                [.] 0x000000000014345e
     0.12%  python3.10  python3.10                                [.] 0x000000000015efa1
     0.12%  python3.10  python3.10                                [.] 0x0000000000293ea7
     0.12%  python3.10  python3.10                                [.] 0x0000000000174098
     0.12%  python3.10  [kernel.kallsyms]                         [k] psi_flags_change
     0.12%  python3.10  python3.10                                [.] 0x000000000018d18d
     0.12%  python3.10  python3.10                                [.] 0x000000000020bf61
     0.11%  python3.10  python3.10                                [.] 0x000000000018d585
     0.11%  python3.10  libcrypto.so.3                            [.] 0x000000000017e049
     0.11%  python3.10  [kernel.kallsyms]                         [k] fput_many
     0.11%  python3.10  python3.10                                [.] 0x0000000000206970
     0.11%  python3.10  python3.10                                [.] 0x0000000000293e1b
     0.11%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.11%  python3.10  python3.10                                [.] 0x00000000002b3885
     0.11%  python3.10  python3.10                                [.] 0x0000000000151e66
     0.11%  python3.10  libcrypto.so.3                            [.] 0x0000000000258a72
