CS ID,CS PID
2-39-89-25,1976111
2-39-78-366,1976165
2-39-131-30,1976172
2-39-138-29,1976203
2-39-126-20,1976155
2-39-78-365,1976207
2-39-91-437,1976204
2-39-78-363,1976218
2-39-89-439,1976214
2-39-138-566,1976210
2-39-79-380,1976219
2-39-79-377,1976220
2-39-130-564,1976224
2-39-78-360,1976226
2-39-91-441,1976227
2-39-128-18,1976229
2-39-90-26,1976230
2-39-79-382,1976231
2-39-82-384,1976232
2-39-78-362,1976235
2-39-79-378,1976234
2-39-95-444,1976236
2-39-79-379,1976238
2-39-79-381,1976240
2-39-92-436,1976243
2-39-78-364,1976244
2-39-125-559,1976249
2-39-78-367,1976252
2-39-126-560,1976241
2-39-123-23,1976253
2-39-131-565,1976258
2-39-79-383,1976284
2-39-88-438,1976256
2-39-127-19,1976262
2-39-90-440,1976264
2-39-95-27,1976268
2-39-127-561,1976265
2-39-79-376,1976270
2-39-129-563,1976272
2-39-78-361,1976273
2-39-124-22,1976274
2-39-139-28,1976276
2-39-83-387,1976247
2-39-125-21,1976287
2-39-88-24,1976285
2-39-129-17,1976290
2-39-139-567,1976294
2-39-124-558,1976296
2-39-123-557,1976299
2-39-130-31,1976303
2-39-128-562,1976292
2-39-83-386,1976288
2-39-92-442,1976300
