# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 35K of event 'cycles'
# Event count (approx.): 19827574629
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    56.00%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     6.59%  python3.10  python3.10                                [.] PyObject_RichCompare
     5.54%  python3.10  python3.10                                [.] 0x000000000012161a
     2.67%  python3.10  python3.10                                [.] 0x0000000000179c52
     1.52%  python3.10  python3.10                                [.] 0x0000000000121590
     1.25%  python3.10  python3.10                                [.] 0x0000000000121676
     0.93%  python3.10  python3.10                                [.] 0x00000000001215f2
     0.91%  python3.10  python3.10                                [.] 0x0000000000121613
     0.84%  python3.10  python3.10                                [.] 0x0000000000121596
     0.78%  python3.10  python3.10                                [.] 0x00000000001215f7
     0.78%  python3.10  python3.10                                [.] 0x0000000000121679
     0.71%  python3.10  python3.10                                [.] 0x0000000000179c4e
     0.71%  python3.10  python3.10                                [.] 0x000000000012159b
     0.70%  python3.10  python3.10                                [.] 0x0000000000121737
     0.70%  python3.10  python3.10                                [.] 0x0000000000121730
     0.69%  python3.10  python3.10                                [.] 0x00000000001215a3
     0.68%  python3.10  python3.10                                [.] 0x0000000000121605
     0.65%  python3.10  python3.10                                [.] 0x000000000012160b
     0.54%  python3.10  python3.10                                [.] 0x0000000000121734
     0.51%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.48%  python3.10  python3.10                                [.] 0x000000000012167d
     0.47%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.46%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.44%  python3.10  python3.10                                [.] 0x00000000001215cb
     0.41%  python3.10  python3.10                                [.] 0x00000000001215ab
     0.41%  python3.10  python3.10                                [.] 0x00000000001215e9
     0.40%  python3.10  python3.10                                [.] 0x0000000000121616
     0.37%  python3.10  python3.10                                [.] 0x000000000012159d
     0.36%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.35%  python3.10  python3.10                                [.] 0x0000000000121667
     0.33%  python3.10  python3.10                                [.] 0x000000000015b546
     0.32%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.32%  python3.10  python3.10                                [.] 0x0000000000121623
     0.31%  python3.10  python3.10                                [.] 0x000000000015b506
     0.30%  python3.10  python3.10                                [.] 0x000000000012160f
     0.30%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.30%  python3.10  python3.10                                [.] 0x000000000015b541
     0.30%  python3.10  python3.10                                [.] 0x00000000001215dc
