# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3212342777
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    74.59%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     2.94%  python3.10  python3.10         [.] 0x000000000012161a
     1.76%  python3.10  python3.10         [.] 0x0000000000121676
     1.45%  python3.10  python3.10         [.] 0x0000000000121590
     1.31%  python3.10  python3.10         [.] 0x00000000001215f2
     0.86%  python3.10  python3.10         [.] 0x0000000000121596
     0.80%  python3.10  python3.10         [.] 0x00000000001215f7
     0.80%  python3.10  python3.10         [.] 0x000000000012159b
     0.74%  python3.10  python3.10         [.] 0x0000000000121605
     0.71%  python3.10  python3.10         [.] 0x0000000000121679
     0.68%  python3.10  python3.10         [.] 0x00000000001215a3
     0.65%  python3.10  python3.10         [.] 0x0000000000121613
     0.59%  python3.10  python3.10         [.] 0x0000000000121730
     0.55%  python3.10  python3.10         [.] 0x0000000000121737
     0.51%  python3.10  python3.10         [.] 0x00000000001215c4
     0.45%  python3.10  python3.10         [.] 0x00000000001215a7
     0.43%  :1977755    python3.10         [.] _PyEval_EvalFrameDefault
     0.42%  python3.10  python3.10         [.] 0x000000000012159d
     0.39%  python3.10  python3.10         [.] 0x00000000001215ab
     0.39%  python3.10  python3.10         [.] 0x00000000001215a2
     0.39%  python3.10  python3.10         [.] 0x00000000001215bc
     0.38%  python3.10  python3.10         [.] 0x000000000012160b
     0.30%  python3.10  python3.10         [.] 0x000000000012167b
     0.30%  python3.10  python3.10         [.] 0x0000000000121616
     0.29%  python3.10  python3.10         [.] 0x00000000001215e9
     0.26%  python3.10  python3.10         [.] 0x00000000001215cb
     0.24%  python3.10  python3.10         [.] 0x00000000001215d8
     0.24%  python3.10  python3.10         [.] 0x000000000012167d
     0.24%  python3.10  python3.10         [.] 0x00000000001215dc
     0.21%  python3.10  python3.10         [.] 0x00000000001215e5
     0.20%  python3.10  python3.10         [.] 0x000000000012167f
     0.17%  python3.10  python3.10         [.] 0x0000000000121677
     0.17%  python3.10  python3.10         [.] 0x0000000000121599
     0.16%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.14%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.13%  python3.10  python3.10         [.] 0x00000000001215e2
     0.12%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.11%  python3.10  python3.10         [.] 0x0000000000121594
     0.11%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.11%  python3.10  python3.10         [.] 0x0000000000121600
     0.11%  python3.10  python3.10         [.] 0x00000000001215a6
     0.10%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.10%  python3.10  python3.10         [.] 0x00000000001215c0
     0.09%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.09%  python3.10  python3.10         [.] 0x000000000012160f
     0.08%  python3.10  python3.10         [.] 0x00000000001215b2
     0.08%  python3.10  python3.10         [.] 0x00000000001215a0
     0.08%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.07%  python3.10  python3.10         [.] PyType_GenericAlloc
     0.07%  python3.10  python3.10         [.] 0x0000000000121734
     0.07%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.07%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.07%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.07%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.06%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.06%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.06%  python3.10  [kernel.kallsyms]  [k] dequeue_entity
     0.05%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.05%  python3.10  [kernel.kallsyms]  [k] css_set_move_task
     0.05%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.05%  python3.10  [kernel.kallsyms]  [k] switch_fpu_return
     0.05%  python3.10  python3.10         [.] PyErr_GivenExceptionMatches
     0.05%  python3.10  python3.10         [.] 0x000000000011d4fc
     0.05%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.05%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.05%  python3.10  [kernel.kallsyms]  [k] __lock_text_start
     0.05%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.05%  python3.10  python3.10         [.] 0x00000000001215df
     0.04%  :1977755    python3.10         [.] 0x0000000000121676
     0.04%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.04%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.04%  :1977755    python3.10         [.] 0x0000000000121605
     0.04%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.04%  python3.10  [kernel.kallsyms]  [k] iterate_groups
     0.04%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.04%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.04%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.04%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] x86_pmu_disable
     0.04%  python3.10  [kernel.kallsyms]  [k] native_apic_msr_eoi_write
