# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 1279613957
#
# Overhead  Command     Shared Object                             Symbol                                   
# ........  ..........  ........................................  .........................................
#
    22.88%  python3.10  python3.10                                [.] _PyEval_EvalFrameDefault
     2.43%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     1.24%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     1.08%  python3.10  python3.10                                [.] 0x00000000001d4961
     1.06%  python3.10  python3.10                                [.] PyList_Append
     0.98%  python3.10  python3.10                                [.] PyLong_FromString
     0.98%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.92%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.57%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.57%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.56%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.53%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.51%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.49%  python3.10  python3.10                                [.] 0x000000000015effa
     0.49%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.47%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.46%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.41%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.41%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.40%  python3.10  python3.10                                [.] 0x000000000015f000
     0.40%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.39%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.39%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.37%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.37%  python3.10  python3.10                                [.] 0x0000000000174090
     0.36%  python3.10  python3.10                                [.] 0x000000000018d589
     0.35%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.35%  python3.10  python3.10                                [.] 0x000000000015b500
